Hotel_Names,Distance,Address,City,Ratings,Votes,Prices,Features
OYO Flagship 704007 Hotel Ashoka Classic,0.4,Hyderabad,Hyderabad,4.1,35,626, Elevator  Geyser  Power backup  
OYO Flagship 80484 Simra Relax Inn,4.1,Hyderabad,Hyderabad,4.6,37,626, Geyser  Power backup  AC  
OYO 14669 Mayur's Residency,2.4,"Near Sri Krupa Market, Malakpet",Hyderabad,4,1014,614, Free Wi-Fi  AC  AC  
OYO 88286 Hotel Padmini,3.4,Lakdikapul,Hyderabad,3.7,245,814, Hair Dryer  Reception  Power backup  
OYO SilverKey 74144 Himayat Nagar Circle,1.3,Narayanguda,Hyderabad,3.6,2202,936, Private entrance  Hair Dryer  Reception  
OYO Townhouse 600 Gangothri,5.7,Near RP Road BUS STOP,Hyderabad,4.4,3179,1300, Private entrance  Parking facility  Reception  
OYO Flagship 80454 Hotel Elite Stay,8.4,Telangana,Hyderabad,4.2,44,626, Geyser  Power backup  AC  
OYO 49253 Raja Residency,3.7,"Near Raja Deluxe Complex, Musheerabad",Hyderabad,4.2,3862,918, Private entrance  Parking facility  Reception  
OYO 24204 Nav Bharath Residency,1,"Near Central Gurudwara Saheb, Gowliguda",Hyderabad,4.3,1506,936, Reception  Free Wi-Fi  Power backup  
OYO 91284 Ambica Lodge,5.5,Punjagutta,Hyderabad,3.5,179,931, Parking facility  Free Wi-Fi  Geyser  
OYO 40852 Hotel White Ridge,4.6,"Near Dilsukhnagar metro station, Krishna Nagar.",Hyderabad,4.3,2134,868, Parking facility  Reception  Free Wi-Fi  
OYO Townhouse White Ridge 112 Shivam Road,2.7,New Nallakunta,Hyderabad,4.1,2573,1490, Parking facility  Reception  Free Wi-Fi  
Capital O 9796 Hotel Alekhya Residency,3.3,"Near Global Hospital, Saifabad",Hyderabad,4,810,1062, Free Wi-Fi  CCTV cameras  Power backup  
OYO 70927 Hotel Hyderabad Continental,0.7,"Near Tarakarama Theatre, Sultan Bazar",Hyderabad,3.8,1519,1345, TV  King Sized Bed  Dress Hanger  
Flagship 77043 Malkajgiri,8.8,Malkajgiri,Hyderabad,4.2,3156,546, Parking facility  Reception  Free Wi-Fi  
OYO 16428 Hotel Vaishnavi Inn,5.4,Secunderabad,Hyderabad,4.2,2284,874, Free Wi-Fi  Power backup  Card payment  
OYO 6651 Hotel Srujana Stay Inn,2,Nampally,Hyderabad,4,1426,1032, Elevator  Free Wi-Fi  Geyser  
OYO 79037 Metro Lodge,3,Charminar,Hyderabad,3.6,326,562, Wakeup service  Free Wi-Fi  Caretaker  
Capital O 44585 Sri Suprabhat Grand,0.8,Nera Venkataramana Theater,Hyderabad,4,483,1231, Parking facility  Reception  Free Wi-Fi  
Capital O 15959 The City Park,1.5,"Near The City Park, Chirag AlicLane",Hyderabad,3.8,1297,1158, Reception  Free Wi-Fi  Power backup  
OYO 68404 Sa Thirumala Residency,2.2,"Near VRK Silks, Himayatnagar",Hyderabad,3.8,579,721, Reception  Security  24/7 check-in  
SPOT ON 80459 Deccan Residency,5.1,Punjagutta,Hyderabad,2,11,444, AC  TV 
OYO Flagship 805121 Royal Galaxy Lodge,1.7,India - 500012,Hyderabad,0,876,823, AC  TV 
Capital O 11079 Hotel Prestige,6.3,"Centrally Located, Near Sun Shine Hospital, Paradise Road",Hyderabad,4.4,4229,1580, Parking facility  Elevator  Free Wi-Fi  
OYO 16428 Hotel Vaishnavi Inn,5.4,Secunderabad,Hyderabad,4.2,2284,874, Free Wi-Fi  Power backup  Card payment  
SPOT ON 75815 Hotel Kanha Residency,3.1,India,Hyderabad,3.8,141,816, Reception  Onsen/Hot Spring  Geyser  
Flagship 49255 Hotel New Simran Palace,6.4,Near Paradise Circle,Hyderabad,3.2,152,550, Reception  Power backup  Daily housekeeping  
OYO 88286 Hotel Padmini,3.4,Lakdikapul,Hyderabad,3.7,245,814, Hair Dryer  Reception  Power backup  
Flagship 77043 Malkajgiri,8.8,Malkajgiri,Hyderabad,4.2,3156,546, Parking facility  Reception  Free Wi-Fi  
OYO 13300 Hotel New Platinum,3.1,"Saleemnagar Colony, Malakpet",Hyderabad,3.3,190,856, Free Wi-Fi  Power backup  Full Sized Bed  
Townhouse OAK Hotel Belsons Taj Mahal,6.4,"Near Swapnalok Complex, Patny Centre",Hyderabad,4.4,565,1647, Doctor on call  Reception  Power backup  
Capital O 44585 Sri Suprabhat Grand,0.8,Nera Venkataramana Theater,Hyderabad,4,483,1231, Parking facility  Reception  Free Wi-Fi  
OYO 82310 Holiday Inn,6.6,Telangana,Hyderabad,4.1,744,546, Doctor on call  Parking facility  Reception  
OYO Flagship 80444 Hrr Hotels,6.4,secunderabad-500003,Hyderabad,2.2,14,626, Elevator  Geyser  Power backup  
OYO 10139 Hotel Palak Residency,9.9,"Metro Pillar no: A947, 2nd Floor, Beside Erragadda Metro Station, Above Bajaj Showroom",Hyderabad,4,2210,886, Elevator  Free Wi-Fi  Geyser  
OYO Townhouse RCC Majestic 397 LB Nagar,6.1,Champapet,Hyderabad,4.7,3516,2199, Parking facility  Free Wi-Fi  AC  
OYO 82030 Hotel Happy Rooms,6.4,Secundrabad,Hyderabad,3.3,61,618, Reception  Public washroom  Free Wi-Fi  
OYO Townhouse 81794 Banjara Hills,4.3,Masab Tank,Hyderabad,3.8,1113,1049, Modern wardrobe  Modern wardrobe  AC  
OYO 70927 Hotel Hyderabad Continental,0.7,"Near Tarakarama Theatre, Sultan Bazar",Hyderabad,3.8,1519,1345, TV  King Sized Bed  Dress Hanger  
OYO 84232 Hotel Lavish Stay,7.8,"LB Nagar Siris Road, St.Alphonsa Grammar School Kaman,Above Bhuvesh Hospital,Hyderabad,500074",Hyderabad,3.6,287,562, Reception  Geyser  CCTV cameras  
OYO 89644 Hotel R Square,6.2,Balapur,Hyderabad,4.2,143,682, Reception  Caretaker  Bedside Table / Desk  
Flagship 65280 Hotel Nandini,8,"Near Sri Nagar Colony, Krishna Nagar",Hyderabad,3.2,286,550, Parking facility  Reception  Free Wi-Fi  
SPOT ON 804524 Sri Sai Lohith Lodge,6.1,Red Cross Road,Hyderabad,2.8,43,566, Geyser  Power backup  AC  
SPOT ON 82436 Gopi Mini Guest House,9.7,Erragadda,Hyderabad,4.3,101,691, Parking facility  Free Wi-Fi  Power backup  
OYO Flagship 80454 Hotel Elite Stay,8.4,Telangana,Hyderabad,4.2,44,626, Geyser  Power backup  AC  
OYO 84238 Hotel Ragas Elite,8.2,500068,Hyderabad,3.7,138,614, Reception  Geyser  Daily housekeeping  
Flagship 67479 Alpine Glow Zenith,8,"Near Malani Colony, Bowenpally",Hyderabad,4.2,1769,1040, Reception  Free Wi-Fi  Power backup  
Capital O 15959 The City Park,1.5,"Near The City Park, Chirag AlicLane",Hyderabad,3.8,1297,1158, Reception  Free Wi-Fi  Power backup  
OYO Home 79961 Comfortable Stays,4,Karan Bagh,Hyderabad,3.9,858,978, Free Wi-Fi  AC  TV  
OYO 91089 Hotel Aman International,9,India - 500005,Hyderabad,3,42,621, Parking facility  Reception  Bedside Table / Desk  
OYO 30665 Sruan Inn,9.7,Abhyudaya Nagar,Hyderabad,3.4,70,614, Parking facility  Reception  Free Wi-Fi  
Capital O 23543 Hotel Vaishnavi,6.1,"Near Csi Wesley Church, Paras Towers",Hyderabad,4.2,1608,1434, Reception  Free Wi-Fi  24/7 check-in  
OYO SilverKey 74144 Himayat Nagar Circle,1.3,Narayanguda,Hyderabad,3.6,2202,936, Private entrance  Hair Dryer  Reception  
SPOT ON 80705 Balaji Residency,5.5,Khairatabad,Hyderabad,3.6,1003,984, AC  TV 
OYO 91495 Hotel Vijay Laxmi Residency,9.8,Erragadda Metro Station,Hyderabad,4,564,626, Parking facility  Reception  Ticket tour assistance  
OYO 61506 Sai Residency,8.7,"Near Sr nagar metro station, Jawahar Nagar",Hyderabad,3.5,615,640, Reception  Free Wi-Fi  Geyser  
OYO Townhouse 113 The Shubham Dilsukhnaga,5.2,Kothapet,Hyderabad,3.5,1257,950, Free Wi-Fi  AC  TV 
OYO Townhouse 164 ESI Hospital,8.8,Sanath Nagar,Hyderabad,4.5,4565,2025, Private entrance  Reception  Free Wi-Fi  
OYO 87972 City Holiday,4.5,Rangareddy,Hyderabad,4.1,956,1049, Parking facility  Reception  Free Wi-Fi  
Flagship 75711 Kachiguda Railway Station,1.1,"Near Kumar Theatre, Kachiguda",Hyderabad,3.5,873,1242, Living Room  Reception  Washing Machine  
OYO Townhouse White Ridge 112 Shivam Road,2.7,New Nallakunta,Hyderabad,4.1,2573,1490, Parking facility  Reception  Free Wi-Fi  
Collection O 3169 Hotel Lotus Grand,5.8,Secunderabad,Hyderabad,3.9,2153,1136, Parking facility  Free Wi-Fi  Power backup  
Capital O 65104 Che Sigma Hotel,8.6,"Near Narayana High School, Chinthalkunta",Hyderabad,3.8,2132,1032, Parking facility  Reception  Free Wi-Fi  
OYO Townhouse 196 De Alphabet,4.9,"Near Sai Baba Temple, Gudimalkapur",Hyderabad,4.2,3372,1447, Parking facility  Reception  Free Wi-Fi  
Flagship 76655 Goldhorn Hotels Mehdipatnam,5.3,Mehdipatnam,Hyderabad,4.2,1948,924, Living Room  Cot  Washing Machine  
OYO 37427 Hotel Shannu Grand,8.9,"Near Apollo Pharmacy, Secunderabad",Hyderabad,4,1317,965, Parking facility  Reception  Free Wi-Fi  
Flagship 75519 White Ridge,6.6,"Near Sai Sanjeevani Hospital, Huda Colony",Hyderabad,4,2048,999, Private entrance  Parking facility  Reception  
Collection O 81203 Shining Suites,10,Near Erragadda Metro,Hyderabad,3.5,421,702, Free Wi-Fi  Geyser  Daily housekeeping  
Capital O 10225 Wild Wings Hotel,6,"Laxmi Nagar Colony, Kothapet",Hyderabad,4,827,1314, Parking facility  Free Wi-Fi  Power backup  
OYO 14726 Hotel Vaishnavi Park,5.8,"Near Monda Market, Shivaji Nagar",Hyderabad,3.7,1582,1015, Elevator  Free Wi-Fi  Geyser  
OYO 91284 Ambica Lodge,5.5,Punjagutta,Hyderabad,3.5,179,931, Parking facility  Free Wi-Fi  Geyser  
OYO 89107 Royal Stay,8.3,Ranga Reddy,Hyderabad,4.4,442,834, Reception  Free Wi-Fi  AC  
OYO Townhouse 600 Gangothri,5.7,Near RP Road BUS STOP,Hyderabad,4.4,3179,1300, Private entrance  Parking facility  Reception  
OYO Flagship 80468 Hotel R Square,4.9,Dilsukhnagar,Hyderabad,3.2,26,1025, Geyser  Power backup  AC  
OYO 88350 Hanuma Residency,6.9,Behind OZONE Hospital,Hyderabad,3.9,1042,798, Hair Dryer  Parking facility  Reception  
Collection O 9386 Hotel Happy Stay,6.9,"Near ICICI Bank, Begumpet",Hyderabad,3.8,1711,1136, AC  TV 
OYO 40869 White Ridge,7.1,"Near Sanjeevini Hospital, Kothapet road",Hyderabad,4.2,1815,856, Reception  Free Wi-Fi  Power backup  
OYO Home 79924 Pramod Prime Homes,8.1,Nagole,Hyderabad,4.3,1503,1215, Free Wi-Fi  TV  AC 
SPOT ON 81775 Mohit Gokul Lodge New Room's,5.9,Near To Secunderbad East Metro Rail Station,Hyderabad,3.5,657,901, Parking facility  Reception  Free Wi-Fi  
OYO Townhouse 862 Che Sigma,9,Malkajgiri,Hyderabad,4.2,2685,1507, Parking facility  Reception  Ticket tour assistance  
OYO Flagship 805239 Qualia Hotel Dilsukhnagar,4.5,dilshuknagar,Hyderabad,4.1,19,1154, Elevator  Geyser  Power backup  
Flagship 76687 Ramoji Kothapet,5.8,Kothapet,Hyderabad,4,2232,1257, Private entrance  Reception  Free Wi-Fi  
OYO 11316 Athithi Inn,6.8,"Near Maithrivanam Complex, Ameerpet",Hyderabad,3.7,2571,1310, Parking facility  Free Wi-Fi  Power backup  
SPOT ON 70822 Pnd Complex,7.9,R c i Rd,Hyderabad,3.8,617,889, Hair Dryer  Reception  Daily housekeeping  
OYO 86305 Hotel Aroma Classic,1.6,15-1-309 Feelkhana Near Acharaya Bhavan Baba Ramdav Mandir Bagum Bazar Hyderabad,Hyderabad,4,530,1418, Reception  Public washroom  Free Wi-Fi  
Capital O 897 Hotel Surabhi Elite,6.8,Kothapet,Hyderabad,4,1081,1660, Free Wi-Fi  AC  TV  
Collection O 7601 Hotel Park Heights Banjara Hills,6.6,Banjara Hills,Hyderabad,3.7,742,1198, Parking facility  Free Wi-Fi  Power backup  
OYO 701448 Heavens Inn,6.5,Secunderabad Mandal,Hyderabad,3.6,237,967, Reception  Free Wi-Fi  Geyser  
OYO Flagship 2635 Hotel Balaji Residency,1.7,"Near TVS Showroom, Himayatnagar",Hyderabad,3.7,13,1749, Parking facility  Elevator  Free Wi-Fi  
Flagship 14224 Happy Guest House,7.3,"Near Star Super Market, Banjara Hills",Hyderabad,3.9,698,1170, Free Wi-Fi  AC  AC  
Collection O 42514 Banjara Hills,7.1,"Near Aasha hospital, Venkat Nagar",Hyderabad,4.3,1743,1827, Parking facility  Reception  Free Wi-Fi  
Flagship 75583 Thatipally Mansion,6.8,Kothapet.,Hyderabad,4,2322,1485, Reception  Free Wi-Fi  Power backup  
OYOFlagship 80467H Hotel R Square ,7.6,LB NAGAR,Hyderabad,3.7,20,1125, Geyser  Power backup  AC  
OYO 1108 Hotel Saraswathi Residency,8.4,"Near Nalanda School, S.R. Nagar",Hyderabad,4.2,366,1866, Elevator  Free Wi-Fi  Geyser  
OYO Flagship 600 Hotel Skyhy,1.5,"Near Old MLA Quarters, Himayathnagar",Hyderabad,3.2,207,1749, Parking facility  Free Wi-Fi  Power backup  
OYO SilverKey 81097 Silverkey Halcyon Magnus,9.2,Sanath Nagar,Hyderabad,3.8,5237,2076, AC  TV  Queen Sized Bed  
Collection O 80304 Hotel Pnr Banjara Hills,6.4,Guru Bramaha,Hyderabad,3.7,786,1721, Parking facility  Elevator  Free Wi-Fi  
OYO Townhouse 1118 S R Nagar,8.3,Khairatabad Mandal,Hyderabad,3.4,457,1482, Parking facility  Reception  Free Wi-Fi  
Townhouse OAK Sri Simran Park Hotel,6,"Near Railway station, Secunderabad",Hyderabad,3.4,606,1510, Parking facility  Free Wi-Fi  Power backup  
Flagship 983 Hotel Surya Residency,7.5,"Near SR Nagar Police Station, Ameerpet",Hyderabad,4.1,312,1727, Parking facility  Elevator  Free Wi-Fi  
SPOT ON 41554 Hotel Sri Thirumala Paradise,2.8,Sevashrama,Bangalore,4.6,3632,559, Free Wi-Fi  CCTV cameras  Power backup  
SPOT ON 65593 Yatra Inn,2,Lalbagh,Bangalore,4.6,2717,829, Reception  Free Wi-Fi  CCTV cameras  
Capital O 36457 Boulevard Madiwala,5.5,B t m Layout,Bangalore,4.3,2216,1063, Private entrance  Reception  Free Wi-Fi  
Flagship 14397 Varcity Phi Pavilion,6.1,B t m Layout,Bangalore,4.3,4067,921, Living Room  Washing Machine  Balcony  
Capital O 62949 Regal Suites,4.8,"Centrally Located, Near Sagar Hospital, Hombegowda Nagar",Bangalore,4,1125,711, Hair Dryer  Parking facility  Reception  
OYO Townhouse 180 Jayanagar,4.8,"Near Sagar Hospital, Tilak Nagar",Bangalore,4.5,3187,1520, Free Wi-Fi  AC  TV 
OYO 15358 Hotel Townhall,1.6,"Near Dhanlakshmi Bank, JC Road",Bangalore,4.1,1259,693, Elevator  Parking facility  Free Wi-Fi  
Capital O 23461 Champion Lotus,5.4,"Near IIFT, Vijayanagar",Bangalore,4.3,1284,898, Reception  Power backup  Security  
OYO 9605 Hotel Golden Inn,2,"Centrally Located, Near HKP Road, Shivaji Nagar",Bangalore,3.7,1547,827, Doctor on call  Hair Dryer  Reception  
OYO 11915 Varcity Park,5.5,"Near SV Hospitals, Madiwala",Bangalore,4.1,2482,896, Doctor on call  Reception  Ticket tour assistance  
OYO 87278 Royal Grand Residency,2.5,Bangalore Karnataka,Bangalore,3.6,470,692, AC  TV  Queen Sized Bed  
SPOT ON 48822 Balaji Residency,6.9,L N Colony,Bangalore,3.6,613,449, AC  TV  AC  
Capital O 14203 Chetana Inn,9,"Centrally Located, Near Shanti Niketan School, Kodigehalli",Bangalore,4.3,1415,900, Reception  Free Wi-Fi  Power backup  
OYO Townhouse 364 Richmond Road,1,"Near Baldwin Women College, Richmond Town, Bengaluru",Bangalore,4.2,1673,1829, Reception  Free Wi-Fi  Power backup  
Capital O 70156 Victorian Comforts,2.4,"Near Adams Creation, Victoria Layout",Bangalore,4,1312,1435, Parking facility  Free Wi-Fi  Power backup  
Flagship 18338 White Fort,2.6,"Dispensary Rd, Kalasipalya,Bangalore",Bangalore,3.9,1235,695, Free Wi-Fi  Power backup  Card payment  
OYO 12761 High Street,1.8,Near Kalyan silks commercial street,Bangalore,4.4,543,1362, Parking facility  Reception  Free Wi-Fi  
OYO Townhouse 273 Hosur Main Road Bommanahalli,8.4,"Near krishna Theature Bommanahalli, Hosur main road",Bangalore,4.5,1916,1322, Parking facility  Elevator  Free Wi-Fi  
OYO 9251 Nar Comforts,2.1,"NAR Comforts,13, G.K temple street, opp. Vijayalaxmi theater, Chickpet",Bangalore,3.9,1559,962, AC  TV 
Capital O 68975 The Blueberry's,4.2,7th Block,Bangalore,3.7,820,913, TV  Parking facility  Reception  
SPOT ON 80165 S3 Comforts,8.1,Diagonally Opp Sri Krishna Nandagokula Hotel,Bangalore,3.7,280,571, Hair Dryer  Parking facility  Free Wi-Fi  
Flagship 11640 Hotel Aaira Inn,6.7,"Near Uttam Sagar, Banaswadi main road",Bangalore,4.2,1227,948, Private entrance  Reception  Free Wi-Fi  
Capital O 36457 Boulevard Madiwala,5.5,B t m Layout,Bangalore,4.3,2216,1063, Reception  Free Wi-Fi  Power backup  
OYO 10522 Varcity Emerald,6.2,"Near KEB Colony, BTM Layout 1",Bangalore,3.7,1847,733, Free Wi-Fi  Geyser  Power backup  
OYO 10293 Rajmahal Comforts,7.9,"Near Maha Bazar, New Bel Road",Bangalore,3.2,457,676, Parking facility  Reception  Free Wi-Fi  
OYO Townhouse 273 Hosur Main Road Bommanahalli,8.4,"Near krishna Theature Bommanahalli, Hosur main road",Bangalore,4.5,1916,1322, Hair Dryer  Parking facility  Reception  
Capital O 62949 Regal Suites,4.8,"Centrally Located, Near Sagar Hospital, Hombegowda Nagar",Bangalore,4,1125,711, Free Wi-Fi  Geyser  CCTV cameras  
Flagship 700311 S M Residency,8.1,Nagarbhavi,Bangalore,3,138,593, Reception  Free Wi-Fi  Power backup  
SPOT ON 71449 Ssr Lodging And Boarding,2.1,"Near Jumma masjid, Shivaji Nagar",Bangalore,3.5,274,573, Reception  Free Wi-Fi  Card payment  
OYO 37297 N R Deluxe,8.2,Near Prashant Hospital,Bangalore,3.3,119,687, Parking facility  Reception  Free Wi-Fi  
