,Hotel_Names,Distance,Address,City,Ratings,Votes,Prices,Features
0,OYO Flagship 704007 Hotel Ashoka Classic,0.4 km,Hyderabad,"['Hyderabad', 'Hyderabad']",4.1,['35'],626, Elevator  Geyser  Power backup  
1,OYO Flagship 80484 Simra Relax Inn,4.1 km,Hyderabad,"['Hyderabad', 'Hyderabad']",4.6,['37'],626, Geyser  Power backup  AC  
2,OYO 14669 Mayur's Residency,2.4 km,"Near Sri Krupa Market, Malakpet",['Hyderabad'],4.0,['1014'],614, Free Wi-Fi  AC  AC  
3,OYO 88286 Hotel Padmini,3.4 km,Lakdikapul,['Hyderabad'],3.7,['245'],814, Hair Dryer  Reception  Power backup  
4,OYO SilverKey 74144 Himayat Nagar Circle,1.3 km,Narayanguda,['Hyderabad'],3.6,['2202'],936, Private entrance  Hair Dryer  Reception  
5,OYO Townhouse 600 Gangothri,5.7 km,Near RP Road BUS STOP,[],4.4,['3179'],1300, Private entrance  Parking facility  Reception  
6,OYO Flagship 80454 Hotel Elite Stay,8.4 km,Telangana,['Hyderabad'],4.2,['44'],626, Geyser  Power backup  AC  
7,OYO 49253 Raja Residency,3.7 km,"Near Raja Deluxe Complex, Musheerabad",['Hyderabad'],4.2,['3862'],918, Private entrance  Parking facility  Reception  
8,OYO 24204 Nav Bharath Residency,1.0 km,"Near Central Gurudwara Saheb, Gowliguda",['Hyderabad'],4.3,['1506'],936, Reception  Free Wi-Fi  Power backup  
9,OYO 91284 Ambica Lodge,5.5 km,Punjagutta,['Hyderabad'],3.5,['179'],931, Parking facility  Free Wi-Fi  Geyser  
10,OYO 40852 Hotel White Ridge,4.6 km,"Near Dilsukhnagar metro station, Krishna Nagar.",['Hyderabad'],4.3,['2134'],868, Parking facility  Reception  Free Wi-Fi  
11,OYO Townhouse White Ridge 112 Shivam Road,2.7 km,New Nallakunta,['Hyderabad'],4.1,['2573'],1490, Parking facility  Reception  Free Wi-Fi  
12,Capital O 9796 Hotel Alekhya Residency,3.3 km,"Near Global Hospital, Saifabad",['Hyderabad'],4.0,['810'],1062, Free Wi-Fi  CCTV cameras  Power backup  
13,OYO 70927 Hotel Hyderabad Continental,0.7 km,"Near Tarakarama Theatre, Sultan Bazar",['Hyderabad'],3.8,['1519'],1345, TV  King Sized Bed  Dress Hanger  
14,Flagship 77043 Malkajgiri,8.8 km,Malkajgiri,['Hyderabad'],4.2,['3156'],546, Parking facility  Reception  Free Wi-Fi  
15,OYO 16428 Hotel Vaishnavi Inn,5.4 km,Secunderabad,['Hyderabad'],4.2,['2284'],874, Free Wi-Fi  Power backup  Card payment  
16,OYO 6651 Hotel Srujana Stay Inn,2.0 km,Nampally,['Hyderabad'],4.0,['1426'],1032, Elevator  Free Wi-Fi  Geyser  
17,OYO 79037 Metro Lodge,3.0 km,Charminar,['Hyderabad'],3.6,['326'],562, Wakeup service  Free Wi-Fi  Caretaker  
18,Capital O 44585 Sri Suprabhat Grand,0.8 km,Nera Venkataramana Theater,['Hyderabad'],4.0,['483'],1231, Parking facility  Reception  Free Wi-Fi  
19,Capital O 15959 The City Park,1.5 km,"Near The City Park, Chirag AlicLane",['Hyderabad'],3.8,['1297'],1158, Reception  Free Wi-Fi  Power backup  
20,OYO 68404 Sa Thirumala Residency,2.2 km,"Near VRK Silks, Himayatnagar",['Hyderabad'],3.8,['579'],721, Reception  Security  24/7 check-in  
21,SPOT ON 80459 Deccan Residency,5.1 km,Punjagutta,['Hyderabad'],2.0,['11'],444, AC  TV 
22,OYO Flagship 805121 Royal Galaxy Lodge,1.7 km,India - 500012,['Hyderabad'],NEW,[],823, AC  TV 
23,Capital O 11079 Hotel Prestige,6.3 km,"Centrally Located, Near Sun Shine Hospital, Paradise Road",['Hyderabad'],4.4,['4229'],1580, Parking facility  Elevator  Free Wi-Fi  
24,OYO 16428 Hotel Vaishnavi Inn,5.4 km,Secunderabad,['Hyderabad'],4.2,['2284'],874, Free Wi-Fi  Power backup  Card payment  
25,SPOT ON 75815 Hotel Kanha Residency,3.1 km,India,['Hyderabad'],3.8,['141'],816, Reception  Onsen/Hot Spring  Geyser  
26,Flagship 49255 Hotel New Simran Palace,6.4 km,Near Paradise Circle,['Hyderabad'],3.2,['152'],550, Reception  Power backup  Daily housekeeping  
27,OYO 88286 Hotel Padmini,3.4 km,Lakdikapul,['Hyderabad'],3.7,['245'],814, Hair Dryer  Reception  Power backup  
28,Flagship 77043 Malkajgiri,8.8 km,Malkajgiri,['Hyderabad'],4.2,['3156'],546, Parking facility  Reception  Free Wi-Fi  
29,OYO 13300 Hotel New Platinum,3.1 km,"Saleemnagar Colony, Malakpet",['Hyderabad'],3.3,['190'],856, Free Wi-Fi  Power backup  Full Sized Bed  
30,Townhouse OAK Hotel Belsons Taj Mahal,6.4 km,"Near Swapnalok Complex, Patny Centre",['Hyderabad'],4.4,['565'],1647, Doctor on call  Reception  Power backup  
31,Capital O 44585 Sri Suprabhat Grand,0.8 km,Nera Venkataramana Theater,['Hyderabad'],4.0,['483'],1231, Parking facility  Reception  Free Wi-Fi  
32,OYO 82310 Holiday Inn,6.6 km,Telangana,['Hyderabad'],4.1,['744'],546, Doctor on call  Parking facility  Reception  
33,OYO Flagship 80444 Hrr Hotels,6.4 km,secunderabad-500003,['Hyderabad'],2.2,['14'],626, Elevator  Geyser  Power backup  
34,OYO 10139 Hotel Palak Residency,9.9 km,"Metro Pillar no: A947, 2nd Floor, Beside Erragadda Metro Station, Above Bajaj Showroom",['Hyderabad'],4.0,['2210'],886, Elevator  Free Wi-Fi  Geyser  
35,OYO Townhouse RCC Majestic 397 LB Nagar,6.1 km,Champapet,['Hyderabad'],4.7,['3516'],2199, Parking facility  Free Wi-Fi  AC  
36,OYO 82030 Hotel Happy Rooms,6.4 km,Secundrabad,['Hyderabad'],3.3,['61'],618, Reception  Public washroom  Free Wi-Fi  
37,OYO Townhouse 81794 Banjara Hills,4.3 km,Masab Tank,['Hyderabad'],3.8,['1113'],1049, Modern wardrobe  Modern wardrobe  AC  
38,OYO 70927 Hotel Hyderabad Continental,0.7 km,"Near Tarakarama Theatre, Sultan Bazar",['Hyderabad'],3.8,['1519'],1345, TV  King Sized Bed  Dress Hanger  
39,OYO 84232 Hotel Lavish Stay,7.8 km,"LB Nagar Siris Road, St.Alphonsa Grammar School Kaman,Above Bhuvesh Hospital,Hyderabad,500074",['Hyderabad'],3.6,['287'],562, Reception  Geyser  CCTV cameras  
40,OYO 89644 Hotel R Square,6.2 km,Balapur,['Hyderabad'],4.2,['143'],682, Reception  Caretaker  Bedside Table / Desk  
41,Flagship 65280 Hotel Nandini,8.0 km,"Near Sri Nagar Colony, Krishna Nagar",['Hyderabad'],3.2,['286'],550, Parking facility  Reception  Free Wi-Fi  
42,SPOT ON 804524 Sri Sai Lohith Lodge,6.1 km,Red Cross Road,['Hyderabad'],2.8,['43'],566, Geyser  Power backup  AC  
43,SPOT ON 82436 Gopi Mini Guest House,9.7 km,Erragadda,['Hyderabad'],4.3,['101'],691, Parking facility  Free Wi-Fi  Power backup  
44,OYO Flagship 80454 Hotel Elite Stay,8.4 km,Telangana,['Hyderabad'],4.2,['44'],626, Geyser  Power backup  AC  
45,OYO 84238 Hotel Ragas Elite,8.2 km,500068,['Hyderabad'],3.7,['138'],614, Reception  Geyser  Daily housekeeping  
46,Flagship 67479 Alpine Glow Zenith,8.0 km,"Near Malani Colony, Bowenpally",['Hyderabad'],4.2,['1769'],1040, Reception  Free Wi-Fi  Power backup  
47,Capital O 15959 The City Park,1.5 km,"Near The City Park, Chirag AlicLane",['Hyderabad'],3.8,['1297'],1158, Reception  Free Wi-Fi  Power backup  
48,OYO Home 79961 Comfortable Stays,4.0 km,Karan Bagh,['Hyderabad'],3.9,['858'],978, Free Wi-Fi  AC  TV  
49,OYO 91089 Hotel Aman International,9.0 km,India - 500005,['Hyderabad'],3.0,['42'],621, Parking facility  Reception  Bedside Table / Desk  
50,OYO 30665 Sruan Inn,9.7 km,Abhyudaya Nagar,['Hyderabad'],3.4,['70'],614, Parking facility  Reception  Free Wi-Fi  
51,Capital O 23543 Hotel Vaishnavi,6.1 km,"Near Csi Wesley Church, Paras Towers",['Hyderabad'],4.2,['1608'],1434, Reception  Free Wi-Fi  24/7 check-in  
52,OYO SilverKey 74144 Himayat Nagar Circle,1.3 km,Narayanguda,['Hyderabad'],3.6,['2202'],936, Private entrance  Hair Dryer  Reception  
53,SPOT ON 80705 Balaji Residency,5.5 km,Khairatabad,['Hyderabad'],3.6,['1003'],984, AC  TV 
54,OYO 91495 Hotel Vijay Laxmi Residency,9.8 km,Erragadda Metro Station,[],4.0,['564'],626, Parking facility  Reception  Ticket tour assistance  
55,OYO 61506 Sai Residency,8.7 km,"Near Sr nagar metro station, Jawahar Nagar",['Hyderabad'],3.5,['615'],640, Reception  Free Wi-Fi  Geyser  
56,OYO Townhouse 113 The Shubham Dilsukhnaga,5.2 km,Kothapet,['Hyderabad'],3.5,['1257'],950, Free Wi-Fi  AC  TV 
57,OYO Townhouse 164 ESI Hospital,8.8 km,Sanath Nagar,['Hyderabad'],4.5,['4565'],2025, Private entrance  Reception  Free Wi-Fi  
58,OYO 87972 City Holiday,4.5 km,Rangareddy,['Hyderabad'],4.1,['956'],1049, Parking facility  Reception  Free Wi-Fi  
59,Flagship 75711 Kachiguda Railway Station,1.1 km,"Near Kumar Theatre, Kachiguda",['Hyderabad'],3.5,['873'],1242, Living Room  Reception  Washing Machine  
60,OYO Townhouse White Ridge 112 Shivam Road,2.7 km,New Nallakunta,['Hyderabad'],4.1,['2573'],1490, Parking facility  Reception  Free Wi-Fi  
61,Collection O 3169 Hotel Lotus Grand,5.8 km,Secunderabad,['Hyderabad'],3.9,['2153'],1136, Parking facility  Free Wi-Fi  Power backup  
62,Capital O 65104 Che Sigma Hotel,8.6 km,"Near Narayana High School, Chinthalkunta",['Hyderabad'],3.8,['2132'],1032, Parking facility  Reception  Free Wi-Fi  
63,OYO Townhouse 196 De Alphabet,4.9 km,"Near Sai Baba Temple, Gudimalkapur",['Hyderabad'],4.2,['3372'],1447, Parking facility  Reception  Free Wi-Fi  
64,Flagship 76655 Goldhorn Hotels Mehdipatnam,5.3 km,Mehdipatnam,['Hyderabad'],4.2,['1948'],924, Living Room  Cot  Washing Machine  
65,OYO 37427 Hotel Shannu Grand,8.9 km,"Near Apollo Pharmacy, Secunderabad",['Hyderabad'],4.0,['1317'],965, Parking facility  Reception  Free Wi-Fi  
66,Flagship 75519 White Ridge,6.6 km,"Near Sai Sanjeevani Hospital, Huda Colony",['Hyderabad'],4.0,['2048'],999, Private entrance  Parking facility  Reception  
67,Collection O 81203 Shining Suites,10.0 km,Near Erragadda Metro,['Hyderabad'],3.5,['421'],702, Free Wi-Fi  Geyser  Daily housekeeping  
68,Capital O 10225 Wild Wings Hotel,6.0 km,"Laxmi Nagar Colony, Kothapet",['Hyderabad'],4.0,['827'],1314, Parking facility  Free Wi-Fi  Power backup  
69,OYO 14726 Hotel Vaishnavi Park,5.8 km,"Near Monda Market, Shivaji Nagar",['Hyderabad'],3.7,['1582'],1015, Elevator  Free Wi-Fi  Geyser  
70,OYO 91284 Ambica Lodge,5.5 km,Punjagutta,['Hyderabad'],3.5,['179'],931, Parking facility  Free Wi-Fi  Geyser  
71,OYO 89107 Royal Stay,8.3 km,Ranga Reddy,['Hyderabad'],4.4,['442'],834, Reception  Free Wi-Fi  AC  
72,OYO Townhouse 600 Gangothri,5.7 km,Near RP Road BUS STOP,[],4.4,['3179'],1300, Private entrance  Parking facility  Reception  
73,OYO Flagship 80468 Hotel R Square,4.9 km,Dilsukhnagar,['Hyderabad'],3.2,['26'],1025, Geyser  Power backup  AC  
74,OYO 88350 Hanuma Residency,6.9 km,Behind OZONE Hospital,[],3.9,['1042'],798, Hair Dryer  Parking facility  Reception  
75,Collection O 9386 Hotel Happy Stay,6.9 km,"Near ICICI Bank, Begumpet",['Hyderabad'],3.8,['1711'],1136, AC  TV 
76,OYO 40869 White Ridge,7.1 km,"Near Sanjeevini Hospital, Kothapet road",['Hyderabad'],4.2,['1815'],856, Reception  Free Wi-Fi  Power backup  
77,OYO Home 79924 Pramod Prime Homes,8.1 km,Nagole,['Hyderabad'],4.3,['1503'],1215, Free Wi-Fi  TV  AC 
78,SPOT ON 81775 Mohit Gokul Lodge New Room's,5.9 km,Near To Secunderbad East Metro Rail Station,['Hyderabad'],3.5,['657'],901, Parking facility  Reception  Free Wi-Fi  
79,OYO Townhouse 862 Che Sigma,9.0 km,Malkajgiri,['Hyderabad'],4.2,['2685'],1507, Parking facility  Reception  Ticket tour assistance  
80,OYO Flagship 805239 Qualia Hotel Dilsukhnagar,4.5 km,dilshuknagar,['Hyderabad'],4.1,['19'],1154, Elevator  Geyser  Power backup  
81,Flagship 76687 Ramoji Kothapet,5.8 km,Kothapet,['Hyderabad'],4.0,['2232'],1257, Private entrance  Reception  Free Wi-Fi  
82,OYO 11316 Athithi Inn,6.8 km,"Near Maithrivanam Complex, Ameerpet",['Hyderabad'],3.7,['2571'],1310, Parking facility  Free Wi-Fi  Power backup  
83,SPOT ON 70822 Pnd Complex,7.9 km,R c i Rd,['Hyderabad'],3.8,['617'],889, Hair Dryer  Reception  Daily housekeeping  
84,OYO 86305 Hotel Aroma Classic,1.6 km,15-1-309 Feelkhana Near Acharaya Bhavan Baba Ramdav Mandir Bagum Bazar Hyderabad,"['Hyderabad', 'Hyderabad']",4.0,['530'],1418, Reception  Public washroom  Free Wi-Fi  
85,Capital O 897 Hotel Surabhi Elite,6.8 km,Kothapet,['Hyderabad'],4.0,['1081'],1660, Free Wi-Fi  AC  TV  
86,Collection O 7601 Hotel Park Heights Banjara Hills,6.6 km,Banjara Hills,['Hyderabad'],3.7,['742'],1198, Parking facility  Free Wi-Fi  Power backup  
87,OYO 701448 Heavens Inn,6.5 km,Secunderabad Mandal,['Hyderabad'],3.6,['237'],967, Reception  Free Wi-Fi  Geyser  
88,OYO Flagship 2635 Hotel Balaji Residency,1.7 km,"Near TVS Showroom, Himayatnagar",['Hyderabad'],3.7,['13'],1749, Parking facility  Elevator  Free Wi-Fi  
89,Flagship 14224 Happy Guest House,7.3 km,"Near Star Super Market, Banjara Hills",['Hyderabad'],3.9,['698'],1170, Free Wi-Fi  AC  AC  
90,Collection O 42514 Banjara Hills,7.1 km,"Near Aasha hospital, Venkat Nagar",['Hyderabad'],4.3,['1743'],1827, Parking facility  Reception  Free Wi-Fi  
91,Flagship 75583 Thatipally Mansion,6.8 km,Kothapet.,['Hyderabad'],4.0,['2322'],1485, Reception  Free Wi-Fi  Power backup  
92,OYOFlagship 80467H Hotel R Square ,7.6 km,LB NAGAR,['Hyderabad'],3.7,['20'],1125, Geyser  Power backup  AC  
93,OYO 1108 Hotel Saraswathi Residency,8.4 km,"Near Nalanda School, S.R. Nagar",['Hyderabad'],4.2,['366'],1866, Elevator  Free Wi-Fi  Geyser  
94,OYO Flagship 600 Hotel Skyhy,1.5 km,"Near Old MLA Quarters, Himayathnagar",['Hyderabad'],3.2,['207'],1749, Parking facility  Free Wi-Fi  Power backup  
95,OYO SilverKey 81097 Silverkey Halcyon Magnus,9.2 km,Sanath Nagar,['Hyderabad'],3.8,['5237'],2076, AC  TV  Queen Sized Bed  
96,Collection O 80304 Hotel Pnr Banjara Hills,6.4 km,Guru Bramaha,['Hyderabad'],3.7,['786'],1721, Parking facility  Elevator  Free Wi-Fi  
97,OYO Townhouse 1118 S R Nagar,8.3 km,Khairatabad Mandal,['Hyderabad'],3.4,['457'],1482, Parking facility  Reception  Free Wi-Fi  
98,Townhouse OAK Sri Simran Park Hotel,6.0 km,"Near Railway station, Secunderabad",['Hyderabad'],3.4,['606'],1510, Parking facility  Free Wi-Fi  Power backup  
99,Flagship 983 Hotel Surya Residency,7.5 km,"Near SR Nagar Police Station, Ameerpet",['Hyderabad'],4.1,['312'],1727, Parking facility  Elevator  Free Wi-Fi  
100,SPOT ON 41554 Hotel Sri Thirumala Paradise,2.8 km,Sevashrama,['Bangalore'],4.6,['3632'],559, Free Wi-Fi  CCTV cameras  Power backup  
101,SPOT ON 65593 Yatra Inn,2.0 km,Lalbagh,['Bangalore'],4.6,['2717'],829, Reception  Free Wi-Fi  CCTV cameras  
102,Capital O 36457 Boulevard Madiwala,5.5 km,B t m Layout,['Bangalore'],4.3,['2216'],1063, Private entrance  Reception  Free Wi-Fi  
103,Flagship 14397 Varcity Phi Pavilion,6.1 km,B t m Layout,['Bangalore'],4.3,['4067'],921, Living Room  Washing Machine  Balcony  
104,Capital O 62949 Regal Suites,4.8 km,"Centrally Located, Near Sagar Hospital, Hombegowda Nagar",['Bangalore'],4.0,['1125'],711, Hair Dryer  Parking facility  Reception  
105,OYO Townhouse 180 Jayanagar,4.8 km,"Near Sagar Hospital, Tilak Nagar",['Bangalore'],4.5,['3187'],1520, Free Wi-Fi  AC  TV 
106,OYO 15358 Hotel Townhall,1.6 km,"Near Dhanlakshmi Bank, JC Road",['Bangalore'],4.1,['1259'],693, Elevator  Parking facility  Free Wi-Fi  
107,Capital O 23461 Champion Lotus,5.4 km,"Near IIFT, Vijayanagar",['Bangalore'],4.3,['1284'],898, Reception  Power backup  Security  
108,OYO 9605 Hotel Golden Inn,2.0 km,"Centrally Located, Near HKP Road, Shivaji Nagar",['Bangalore'],3.7,['1547'],827, Doctor on call  Hair Dryer  Reception  
109,OYO 11915 Varcity Park,5.5 km,"Near SV Hospitals, Madiwala",['Bangalore'],4.1,['2482'],896, Doctor on call  Reception  Ticket tour assistance  
110,OYO 87278 Royal Grand Residency,2.5 km,Bangalore Karnataka,"['Bangalore', 'Bangalore']",3.6,['470'],692, AC  TV  Queen Sized Bed  
111,SPOT ON 48822 Balaji Residency,6.9 km,L N Colony,['Bangalore'],3.6,['613'],449, AC  TV  AC  
112,Capital O 14203 Chetana Inn,9.0 km,"Centrally Located, Near Shanti Niketan School, Kodigehalli",['Bangalore'],4.3,['1415'],900, Reception  Free Wi-Fi  Power backup  
113,OYO Townhouse 364 Richmond Road,1.0 km,"Near Baldwin Women College, Richmond Town, Bengaluru",[],4.2,['1673'],1829, Reception  Free Wi-Fi  Power backup  
114,Capital O 70156 Victorian Comforts,2.4 km,"Near Adams Creation, Victoria Layout",['Bangalore'],4.0,['1312'],1435, Parking facility  Free Wi-Fi  Power backup  
115,Flagship 18338 White Fort,2.6 km,"Dispensary Rd, Kalasipalya,Bangalore",['Bangalore'],3.9,['1235'],695, Free Wi-Fi  Power backup  Card payment  
116,OYO 12761 High Street,1.8 km,Near Kalyan silks commercial street,['Bangalore'],4.4,['543'],1362, Parking facility  Reception  Free Wi-Fi  
117,OYO Townhouse 273 Hosur Main Road Bommanahalli,8.4 km,"Near krishna Theature Bommanahalli, Hosur main road",['Bangalore'],4.5,['1916'],1322, Parking facility  Elevator  Free Wi-Fi  
118,OYO 9251 Nar Comforts,2.1 km,"NAR Comforts,13, G.K temple street, opp. Vijayalaxmi theater, Chickpet",['Bangalore'],3.9,['1559'],962, AC  TV 
119,Capital O 68975 The Blueberry's,4.2 km,7th Block,['Bangalore'],3.7,['820'],913, TV  Parking facility  Reception  
120,SPOT ON 80165 S3 Comforts,8.1 km,Diagonally Opp Sri Krishna Nandagokula Hotel,['Bangalore'],3.7,['280'],571, Hair Dryer  Parking facility  Free Wi-Fi  
121,Flagship 11640 Hotel Aaira Inn,6.7 km,"Near Uttam Sagar, Banaswadi main road",['Bangalore'],4.2,['1227'],948, Private entrance  Reception  Free Wi-Fi  
122,Capital O 36457 Boulevard Madiwala,5.5 km,B t m Layout,['Bangalore'],4.3,['2216'],1063, Reception  Free Wi-Fi  Power backup  
123,OYO 10522 Varcity Emerald,6.2 km,"Near KEB Colony, BTM Layout 1",['Bangalore'],3.7,['1847'],733, Free Wi-Fi  Geyser  Power backup  
124,OYO 10293 Rajmahal Comforts,7.9 km,"Near Maha Bazar, New Bel Road",['Bangalore'],3.2,['457'],676, Parking facility  Reception  Free Wi-Fi  
125,OYO Townhouse 273 Hosur Main Road Bommanahalli,8.4 km,"Near krishna Theature Bommanahalli, Hosur main road",['Bangalore'],4.5,['1916'],1322, Hair Dryer  Parking facility  Reception  
126,Capital O 62949 Regal Suites,4.8 km,"Centrally Located, Near Sagar Hospital, Hombegowda Nagar",['Bangalore'],4.0,['1125'],711, Free Wi-Fi  Geyser  CCTV cameras  
127,Flagship 700311 S M Residency,8.1 km,Nagarbhavi,['Bangalore'],3.0,['138'],593, Reception  Free Wi-Fi  Power backup  
128,SPOT ON 71449 Ssr Lodging And Boarding,2.1 km,"Near Jumma masjid, Shivaji Nagar",['Bangalore'],3.5,['274'],573, Reception  Free Wi-Fi  Card payment  
129,OYO 37297 N R Deluxe,8.2 km,Near Prashant Hospital,['Bangalore'],3.3,['119'],687, Parking facility  Reception  Free Wi-Fi  
130,OYO 62942 The Royal International Hotel,8.8 km,"Near Robert Bosch Company, Mangammanapalya",['Bangalore'],4.2,['367'],839, Parking facility  Private entrance  Reception  
